Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,diet,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,SUBJECT,Time
SRR848936,RNA-Seq,202,1463597262,PRJNA202303,SAMN02141664,935617437,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",plant-based,SRX276610,GSM1138278,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138278,Fecal microbial community,SRP022224,1,Day -4
SRR848937,RNA-Seq,202,2867800868,PRJNA202303,SAMN02141665,1818356788,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276611,GSM1138279,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138279,Fecal microbial community,SRP022224,3,Day -4
SRR848938,RNA-Seq,202,1068517178,PRJNA202303,SAMN02141666,683049056,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",plant-based,SRX276612,GSM1138280,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138280,Fecal microbial community,SRP022224,4,Day -4
SRR848939,RNA-Seq,202,4757582174,PRJNA202303,SAMN02141667,3019392683,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276613,GSM1138281,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138281,Fecal microbial community,SRP022224,5,Day -4
SRR848940,RNA-Seq,202,3030418948,PRJNA202303,SAMN02141668,1923713259,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276614,GSM1138282,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138282,Fecal microbial community,SRP022224,6,Day -4
SRR848941,RNA-Seq,202,1336227980,PRJNA202303,SAMN02141669,857584187,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276615,GSM1138283,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138283,Fecal microbial community,SRP022224,7,Day -4
SRR848942,RNA-Seq,202,1736295848,PRJNA202303,SAMN02141670,1098013399,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",plant-based,SRX276616,GSM1138284,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138284,Fecal microbial community,SRP022224,8,Day -4
SRR848943,RNA-Seq,202,1685119148,PRJNA202303,SAMN02141671,1078090133,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276617,GSM1138285,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138285,Fecal microbial community,SRP022224,9,Day -4
SRR848944,RNA-Seq,202,2207722236,PRJNA202303,SAMN02141672,1403109856,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276618,GSM1138286,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138286,Fecal microbial community,SRP022224,10,Day -4
SRR848945,RNA-Seq,202,2023500054,PRJNA202303,SAMN02141673,1244954352,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276619,GSM1138287,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138287,Fecal microbial community,SRP022224,1,Day -1
SRR848946,RNA-Seq,202,1538978410,PRJNA202303,SAMN02141674,932053084,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",plant-based,SRX276620,GSM1138288,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138288,Fecal microbial community,SRP022224,3,Day -1
SRR848947,RNA-Seq,202,4264162026,PRJNA202303,SAMN02141675,2732455376,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",plant-based,SRX276621,GSM1138289,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138289,Fecal microbial community,SRP022224,5,Day -1
SRR848948,RNA-Seq,202,4207193380,PRJNA202303,SAMN02141676,2675594215,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276622,GSM1138290,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138290,Fecal microbial community,SRP022224,6,Day -1
SRR848949,RNA-Seq,202,2705603958,PRJNA202303,SAMN02141677,1645849328,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",plant-based,SRX276623,GSM1138291,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138291,Fecal microbial community,SRP022224,7,Day -1
SRR848950,RNA-Seq,202,1486739392,PRJNA202303,SAMN02141678,950968949,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",plant-based,SRX276624,GSM1138292,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138292,Fecal microbial community,SRP022224,8,Day -1
SRR848951,RNA-Seq,202,1337663190,PRJNA202303,SAMN02141679,817437723,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276625,GSM1138293,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138293,Fecal microbial community,SRP022224,9,Day -1
SRR848952,RNA-Seq,202,865867950,PRJNA202303,SAMN02141680,519421732,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",plant-based,SRX276626,GSM1138294,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138294,Fecal microbial community,SRP022224,10,Day -1
SRR848953,RNA-Seq,202,2554321108,PRJNA202303,SAMN02141681,1556534861,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",plant-based,SRX276627,GSM1138295,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,human gut metagenome,ILLUMINA,2013-12-05T00:00:00Z,GSM1138295,Fecal microbial community,SRP022224,5,Day 1
