Run	fwdA	fwdB	fwdD	fwdE	fwdF	fwdG	Ftr	Hmd	Mch	mcrA	mcrB	mcrG	Mer	mtrA	mtrB	mtrC	mtrD	mtrE	mtrF	mtrG
SRR848936	0	0	0	0	9	34	1	0	0	0	0	0	0	3	0	0	0	0	0	0
SRR848937	2	0	0	11	30	55	0	0	1	7	1	0	5	1	0	0	1	0	0	0
SRR848938	0	0	0	12	0	0	0	8	0	0	0	12	0	2	0	0	0	0	1	1
SRR848939	32	1	2	6	4	25	0	15	4	18	2	0	4	2	0	1	0	7	1	5
SRR848940	30	17	7	8	11	17	4	46	2	146	105	41	169	16	9	28	21	21	2	6
SRR848941	1	0	0	0	0	1	0	0	0	1	12	0	0	0	1	0	11	0	0	0
SRR848942	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
SRR848943	1	1	0	0	0	13	6	0	0	3	0	0	0	0	0	0	0	10	0	0
SRR848944	10	1	19	6	7	11	0	9	4	0	13	4	1	0	0	2	0	0	0	0
SRR848945	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR848946	0	0	0	3	7	8	0	1	2	1	2	0	1	0	0	1	1	0	0	0
SRR848947	2	0	1	0	0	3	1	0	0	2	0	0	3	0	0	1	0	8	0	0
SRR848948	12	9	5	11	26	26	9	17	4	78	93	24	30	7	2	3	9	7	0	0
SRR848949	5	0	0	7	0	7	3	3	1	1	0	0	0	0	0	0	0	2	0	0
SRR848950	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SRR848951	0	0	0	1	4	4	0	1	0	1	0	0	0	0	1	0	0	0	0	0
SRR848952	0	0	2	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0
SRR848953	0	0	4	0	0	1	0	3	0	0	0	0	1	0	0	1	1	1	0	0
SRR848954	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
SRR848955	0	0	0	3	3	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0
SRR848956	1	0	0	2	4	2	1	0	0	2	1	0	0	2	0	0	0	0	0	0
SRR848957	38	15	9	17	10	14	13	95	4	298	192	91	331	20	4	19	37	37	6	11
SRR848958	1	0	0	0	0	1	3	2	0	3	0	0	0	0	0	0	1	0	0	0
SRR848959	18	8	1	2	14	17	7	35	4	93	61	11	62	4	0	4	2	7	0	0
SRR848960	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SRR848961	0	0	1	1	0	2	0	0	0	0	0	1	16	0	0	0	0	0	0	0
SRR848962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SRR848963	0	1	0	2	4	5	0	0	0	0	0	0	2	0	0	0	0	2	0	0
SRR848964	0	1	1	2	4	6	1	2	0	2	0	0	0	1	0	0	0	0	0	0
SRR848965	0	2	0	1	2	6	0	1	0	0	1	1	1	1	0	0	0	0	0	2
SRR848966	1	3	1	6	9	8	0	0	1	1	4	0	3	0	0	0	0	0	0	0
SRR848967	44	42	17	17	5	16	17	74	8	279	244	129	276	70	19	39	58	76	11	19
SRR848968	3	0	2	1	3	2	0	1	0	1	1	0	0	0	0	0	0	3	0	2
SRR848969	20	21	17	7	5	9	5	41	4	88	117	50	65	10	6	18	12	18	1	5
SRR848970	3	4	0	10	5	18	5	6	0	3	1	1	3	1	0	0	0	0	0	0
SRR848971	4	1	0	3	4	9	12	0	1	2	0	0	0	1	0	1	0	0	0	0
SRR848972	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0
SRR848973	0	2	0	2	2	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR848974	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SRR848975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR848976	1	0	3	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SRR848977	134	83	70	7	13	8	91	228	18	723	1371	661	2321	212	59	26	35	70	56	42
SRR848978	1	0	0	3	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0
SRR848979	2	0	0	6	5	3	0	1	0	1	0	0	1	1	0	0	0	1	0	0
SRR848980	1	0	2	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0
SRR848981	0	0	10	1	2	8	0	2	0	2	0	1	0	0	0	0	0	1	0	0
SRR848982	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR848983	33	12	6	4	1	8	1	48	0	99	110	90	152	119	6	3	0	8	8	3
SRR848984	0	0	2	0	2	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0
SRR848985	3	0	0	0	1	3	0	7	0	7	4	4	2	1	0	1	3	4	1	1
SRR848986	1	2	0	5	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0
SRR848987	3	0	0	1	1	12	5	0	0	0	0	0	0	0	0	0	0	4	0	0
SRR848988	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR848989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR848990	28	17	1	3	1	6	15	49	4	308	216	96	330	23	5	9	18	25	9	6
SRR848991	0	0	0	2	0	6	2	2	0	1	0	0	6	0	0	0	0	0	0	0
SRR848992	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
SRR848993	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR848994	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
