DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	barchart
COLOR	#ff0000
FIELD_COLORS	# TODO: more than 12 type; Please add color palette here; separated by tab
FIELD_LABELS	mccA	gene_name	cysM	yhaM	aspC	cysK	sseA	mgl	metC	yhaO	tnaA	iscS	mccB	dcyD	malY
DATA
p__Halobacterota	3
g__UBA71	6
g__Methanomassiliicoccus_A	4
g__Methanobrevibacter_A	7
g__Methanosphaera	3
g__Cutibacterium	3
g__Corynebacterium	21
g__Pauljensenia	18
g__Varibaculum	6
g__Actinomyces	5
f__Cellulomonadaceae	3
g__Rothia	10
g__Bifidobacterium	23
g__Brevibacterium	3
g__QAMH01	7
g__Libanicoccus	8
g__Olsenella_E	8
g__Olsenella_B	4
g__Lancefieldella	8
g__Eggerthella	3
g__Slackia_A	6
g__CAG-1427	27
g__Senegalimassilia	6
g__Gordonibacter	4
g__Enorma	4
g__Collinsella	579
o__Rhizobiales	6
o__Rs-D84	6
o__RF32	45
g__Pseudomonas_E	6
g__Acinetobacter	12
g__Stenotrophomonas	9
g__Neisseria	4
g__Dakarella	3
g__Sutterella	27
g__CAG-521	14
g__Duodenibacillus	12
g__Oxalobacter	7
g__Parasutterella	5
g__Vibrio	6
g__Haemophilus_D	16
g__Haemophilus_A	3
g__Succinivibrio	9
g__Escherichia	5
g__Providencia	6
g__Proteus	5
g__Kluyvera	3
g__Pantoea	8
g__Citrobacter	8
g__Morganella	3
g__Klebsiella	4
g__Yersinia	11
g__Enterobacter	13
g__Serratia	4
g__Klebsiella_A	4
g__Citrobacter_A	4
g__Metakosakonia	4
g__Aeromonas	6
g__Pyramidobacter	3
f__Synergistaceae	4
g__Campylobacter_A	14
g__Campylobacter_D	6
g__Campylobacter_B	5
g__Campylobacter	6
g__Helicobacter_B	4
g__Helicobacter_D	4
f__UBA1820	4
g__Coprobacter	4
g__Dysgonomonas	6
g__Odoribacter	8
g__Butyricimonas	9
g__RF16	6
g__Parabacteroides	27
g__Alistipes_A	10
g__Alistipes	42
g__Barnesiella	7
g__CAG-873	29
g__CAG-279	9
g__Duncaniella	6
g__Paramuribaculum	10
g__CAG-485	28
g__C941	5
g__Muribaculum	6
g__UBA7173_A	3
g__K10	4
g__UBA7173	11
g__Porphyromonas	24
g__CAG-462	4
g__Paraprevotella	7
g__CAG-617	4
g__Prevotellamassilia	16
g__UBA6398	3
g__Bacteroides_A	30
g__Bacteroides_B	5
g__F0040	4
g__UBA4372	4
g__Prevotella	111
g__Bacteroides	51
g__RC9	28
g__CAG-831	9
g__UBA11471	5
g__UBA3388	4
f__F082	4
o__UBA1212	6
g__UBA4644	3
g__Butyricicoccus	4
g__Agathobaculum	10
f__UBA644	5
g__UBA1417	3
g__UBA6857	3
g__CAG-180	9
g__UBA5905	4
g__UBA1691	6
g__UBA737	19
g__Acutalibacter	11
g__Eubacterium_R	30
g__CAG-488	5
g__Ruminococcus_E	11
g__CAG-177	6
g__CAG-964	3
g__Clostridium_E	4
g__An200	4
g__CAG-170	13
g__CAG-83	28
g__Lawsonibacter	16
g__Intestinimonas	6
g__CAG-110	37
g__UBA738	5
g__Oscillibacter	25
g__Ruminiclostridium_C	5
g__UBA5446	11
g__CAG-103	6
g__NK3B98	4
g__UBA9475	3
g__ER4	11
g__UBA1777	18
g__F23-B02	12
g__Flavonifractor	7
f__UBA644_A	4
f__QAMX01	3
g__CAG-390	4
g__UBA1740	4
g__CAG-841	3
g__QALR01	4
g__Firm-07	8
g__CAG-724	3
g__UCG-010	3
g__UBA3818	3
g__Angelakisella	4
g__QAMM01	3
g__Ruminiclostridium_E	8
g__Ruminococcus	10
g__UBA1394	4
g__UBA1409	4
g__Ruminococcus_D	8
g__Ruthenibacterium	4
