DATASET_EXTERNALSHAPE
SEPARATOR TAB
DATASET_LABEL	state
COLOR	#ff0000
FIELD_COLORS	# TODO: more than 12 type; Please add color palette here; separated by tab
FIELD_LABELS	mccB	mccA	yhaO	tnaA	sseA	metC	dcyD	malY	aspC	mgl	yhaM	cysM	iscS	cysK	gene_name
DATA
p__Halobacterota	0.816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__UBA71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Methanomassiliicoccus_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0
g__Methanobrevibacter_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.655	0.0	0.0	0.0	0.0	0.0	0.926	0.0
g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Cutibacterium	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	1.0	0.0
g__Corynebacterium	0.816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.926	0.0
g__Pauljensenia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0
g__Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0
g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775	0.0	0.0	0.0	0.0	0.0	1.0	0.0
f__Cellulomonadaceae	0.816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.837	0.0
