Name	Length	EffectiveLength	SRR848942	SRR848988	SRR848944	SRR848985	SRR848977	SRR848953	SRR848978	SRR848961	SRR848958	SRR848979	SRR848966	SRR848989	SRR848965	SRR848956	SRR848980	SRR848957	SRR848984	SRR848986	SRR848941	SRR848982	SRR848991	SRR848954	SRR848993	SRR848945	SRR848960	SRR848969	SRR848964	SRR848943	SRR848946	SRR848951	SRR848938	SRR848987	SRR848990	SRR848959	SRR848955	SRR848970	SRR848975	SRR848937	SRR848939	SRR848983	SRR848967	SRR848992	SRR848940	SRR848968	SRR848971	SRR848963	SRR848994	SRR848949	SRR848981	SRR848976	SRR848952	SRR848973	SRR848950	SRR848936	SRR848962	SRR848947	SRR848948	SRR848972	SRR848974
MGYG-HGUT-00241;GUT_GENOME001443_3;GUT_GENOME001443_00650;dsrA	1313	1072.612	0.0	101333.000906	34465.666872	32986.837262	0.0	0.0	0.0	0.0	0.0	43034.42713	136082.694917	0.0	0.0	142375.836703	0.0	0.0	0.0	0.0	0.0	0.0	73703.329518	0.0	52241.036486	0.0	0.0	0.0	0.0	56261.455632	70679.748531	130517.952274	0.0	69894.079561	0.0	85446.251411	0.0	0.0	0.0	51819.210808	0.0	0.0	0.0	0.0	70311.659454	0.0	0.0	60511.956722	157990.506033	0.0	0.0	0.0	0.0	56428.150982	0.0	0.0	0.0	0.0	35993.705559	0.0	0.0
MGYG-HGUT-00285;GUT_GENOME002167_78;GUT_GENOME002167_00976;dsrA	1208	967.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122341.546811	33806.926525	0.0	0.0	53732.105336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5767.495139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67134.439389	0.0	0.0	0.0	0.0	0.0	31461.929595	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-00413;GUT_GENOME009437_182;GUT_GENOME009437_02446;dsrA	1208	967.612	0.0	3521.346284	0.0	0.0	3997.589183	0.0	0.0	0.0	0.0	73856.47588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8679.684744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-00551;GUT_GENOME016337_21;GUT_GENOME016337_01114;dsrA	1319	1078.612	0.0	23302.535494	8567.463246	32870.006276	0.0	0.0	0.0	0.0	0.0	40853.71042	24025.429751	0.0	0.0	18642.981464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16292.141483	22854.577312	23082.129547	0.0	17443.805539	0.0	21235.204996	95766.521968	0.0	0.0	6456.379182	0.0	0.0	0.0	0.0	48238.04721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28086.397025	0.0	0.0	0.0	38854.22979	13400.613515	0.0	0.0
MGYG-HGUT-00577;GUT_GENOME017791_1;GUT_GENOME017791_00276;dsrA	1211	970.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-00603;GUT_GENOME018543_1;GUT_GENOME018543_00192;dsrA	1211	970.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01023;GUT_GENOME066597_18;GUT_GENOME066597_00542;dsrA	1208	967.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01067;GUT_GENOME076311_133;GUT_GENOME076311_00737;dsrA	1208	967.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01102;GUT_GENOME081295_63;GUT_GENOME081295_00907;dsrA	1208	967.612	0.0	0.0	19180.772511	0.0	0.0	0.0	0.0	0.0	0.0	67127.424243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01171;GUT_GENOME089515_5;GUT_GENOME089515_00084;dsrA	1208	967.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01181;GUT_GENOME090740_175;GUT_GENOME090740_00536;dsrA	1205	964.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01207;GUT_GENOME092436_75;GUT_GENOME092436_00692;dsrA	1220	979.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01277;GUT_GENOME095520_26;GUT_GENOME095520_01592;dsrA	1316	1075.612	0.0	0.0	16861.307206	81760.075634	0.0	0.0	0.0	0.0	0.0	0.0	6076.751992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24500.419001	0.0	0.0	0.0	0.0	59173.353961	0.0	0.0	32316.804219	34099.277874	0.0	15867.845208	0.0	42596.393025	0.0	0.0	0.0	10154.40539	0.0	0.0	0.0	0.0	46745.561327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17946.827148	0.0	0.0
MGYG-HGUT-01295;GUT_GENOME095942_3;GUT_GENOME095942_01408;dsrA	1313	1072.612	0.0	52687.080141	103707.228171	32986.837262	245077.513392	0.0	0.0	0.0	0.0	57405.57843	42554.034637	0.0	0.0	35889.111812	0.0	262257.835928	0.0	0.0	0.0	0.0	98271.106024	0.0	0.0	0.0	0.0	59279.238855	0.0	42202.904127	66843.970881	36041.251921	0.0	91397.282894	339470.35016	21361.562853	0.0	249136.627852	0.0	52845.13336	0.0	262429.871016	351263.186877	0.0	117186.099089	0.0	0.0	30255.978361	31598.101207	56105.894973	0.0	0.0	0.0	98740.972491	0.0	0.0	0.0	0.0	71987.411117	0.0	0.0
MGYG-HGUT-01359;GUT_GENOME096166_1;GUT_GENOME096166_01294;dsrA	1316	1075.612	555667.444579	18997.940526	60138.439404	65969.375523	0.0	532203.513665	0.0	397699.259291	605311.537317	14341.720688	167169.655411	0.0	573746.186828	59721.073139	790245.530634	0.0	750116.084844	0.0	702381.903901	662915.840971	73501.257003	0.0	26047.931203	667365.660537	0.0	0.0	704957.74608	168511.218187	279922.521617	107061.091241	729704.751605	57875.036857	0.0	85192.786049	480244.43435	277999.992637	0.0	276219.1187	552767.577977	0.0	0.0	871305.09986	70403.850387	520077.452586	563071.706373	90512.830907	126027.944565	458616.540175	693350.746317	0.0	0.0	70326.931263	516744.247086	0.0	337573.104095	533801.077951	17946.827148	87236.765188	0.0
MGYG-HGUT-01388;GUT_GENOME096235_25;GUT_GENOME096235_01333;dsrA	1193	952.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01631;GUT_GENOME099050_89;GUT_GENOME099050_01657;dsrA	1316	1075.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6047.486913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGYG-HGUT-01784;GUT_GENOME109114_34;GUT_GENOME109114_01298;dsrA	1313	1072.612	0.0	0.0	12810.198734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5311.241852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
