Bacterial Species	Gene hits to species
f__Peptostreptococcaceae;g__GCA-900066495;s__MGYG-HGUT-00001	iscS,mgl
f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_sp900066165	cse
f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus_colihominis	cysK
f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter_glycolicus_A	mgl
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_xylosus	cbs,cse
f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B_murinus	cse
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_xylosus_B	cbs,cse
f__Bacillaceae;g__Bacillus;s__Bacillus_subtilis	cse
f__Clostridiaceae;g__Clostridium;s__Clostridium_butyricum	cse
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_mori	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Enterobacter;s__MGYG-HGUT-00019	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H_vaginalis_A	cse
f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium_massiliensis	mgl,tnaA
f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae_timonensis	fn1055
f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena	fn0625
f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A_sp900066445	cysK
f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_sp900066485	mgl,yhaM,yhaO
f__Clostridiaceae;g__Clostridium;s__Clostridium_disporicum	fn1055
f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P_ventriculi	cse
f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495_sp900066495	iscS,mgl
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp002491635	cysK
f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter_bartlettii	iscS,mgl
f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755_sp900066755	fn1055
f__Lachnospiraceae;g__Dorea;s__Dorea_sp900066765	cse
f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A_leptum	fn1055
f__Peptostreptococcaceae;g__GCA-900066935;s__GCA-900066935_sp900066925	mgl,tnaA
f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis	cse
f__Exiguobacteraceae;g__Exiguobacterium;s__MGYG-HGUT-00079	cse
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_fasciculus	cysK,cysM,iscS
f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X_simplex	cse,fn1419
f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_formicilis	cysK
f__Ruminococcaceae;g__CAG-353;s__CAG-353_sp900066885	fn1055
f__Burkholderiaceae;g__Achromobacter;s__Achromobacter_xylosoxidans	cysM,iscS,mgl
f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A_grimontii	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM
f__Lachnospiraceae;g__GCA-900066755;s__MGYG-HGUT-00095	fn1055
f__Lactobacillaceae;g__Leuconostoc;s__MGYG-HGUT-00096	cse
