genome_ID	output_type
MGYG-HGUT-00001	primary
MGYG-HGUT-00002	primary
MGYG-HGUT-00003	primary
MGYG-HGUT-00004	primary
MGYG-HGUT-00005	primary
MGYG-HGUT-00006	secondary
MGYG-HGUT-00007	absent
MGYG-HGUT-00008	absent
MGYG-HGUT-00009	secondary
MGYG-HGUT-00010	secondary
MGYG-HGUT-00011	secondary
MGYG-HGUT-00012	secondary
MGYG-HGUT-00013	primary
MGYG-HGUT-00014	secondary
MGYG-HGUT-00015	primary
MGYG-HGUT-00016	primary
MGYG-HGUT-00017	secondary
MGYG-HGUT-00018	secondary
MGYG-HGUT-00019	primary
MGYG-HGUT-00020	absent
MGYG-HGUT-00021	secondary
MGYG-HGUT-00022	primary
MGYG-HGUT-00023	secondary
MGYG-HGUT-00024	primary
MGYG-HGUT-00025	secondary
MGYG-HGUT-00026	primary
MGYG-HGUT-00027	secondary
MGYG-HGUT-00028	secondary
MGYG-HGUT-00029	primary
MGYG-HGUT-00030	secondary
MGYG-HGUT-00031	primary
MGYG-HGUT-00032	primary
MGYG-HGUT-00033	secondary
MGYG-HGUT-00034	primary
MGYG-HGUT-00035	secondary
MGYG-HGUT-00036	secondary
MGYG-HGUT-00037	primary
MGYG-HGUT-00038	primary
MGYG-HGUT-00039	primary
MGYG-HGUT-00040	secondary
MGYG-HGUT-00041	secondary
MGYG-HGUT-00042	primary
MGYG-HGUT-00043	primary
MGYG-HGUT-00044	primary
MGYG-HGUT-00045	primary
MGYG-HGUT-00046	primary
MGYG-HGUT-00047	primary
MGYG-HGUT-00048	secondary
MGYG-HGUT-00049	primary
MGYG-HGUT-00050	primary
MGYG-HGUT-00051	primary
MGYG-HGUT-00052	secondary
MGYG-HGUT-00053	primary
MGYG-HGUT-00054	primary
MGYG-HGUT-00055	secondary
MGYG-HGUT-00056	secondary
MGYG-HGUT-00057	primary
MGYG-HGUT-00058	secondary
MGYG-HGUT-00059	primary
MGYG-HGUT-00060	secondary
MGYG-HGUT-00061	primary
MGYG-HGUT-00062	primary
MGYG-HGUT-00063	secondary
MGYG-HGUT-00064	primary
MGYG-HGUT-00065	secondary
MGYG-HGUT-00066	primary
MGYG-HGUT-00067	primary
MGYG-HGUT-00068	primary
MGYG-HGUT-00069	secondary
MGYG-HGUT-00070	primary
MGYG-HGUT-00071	primary
MGYG-HGUT-00072	secondary
MGYG-HGUT-00073	primary
MGYG-HGUT-00074	primary
MGYG-HGUT-00075	primary
MGYG-HGUT-00076	secondary
MGYG-HGUT-00077	secondary
MGYG-HGUT-00078	secondary
MGYG-HGUT-00079	secondary
MGYG-HGUT-00080	secondary
MGYG-HGUT-00081	secondary
MGYG-HGUT-00082	secondary
MGYG-HGUT-00083	primary
MGYG-HGUT-00084	primary
MGYG-HGUT-00085	primary
MGYG-HGUT-00086	primary
MGYG-HGUT-00087	primary
MGYG-HGUT-00088	secondary
MGYG-HGUT-00089	secondary
MGYG-HGUT-00090	secondary
MGYG-HGUT-00091	secondary
MGYG-HGUT-00092	primary
MGYG-HGUT-00093	primary
MGYG-HGUT-00094	primary
MGYG-HGUT-00095	primary
MGYG-HGUT-00096	secondary
MGYG-HGUT-00097	secondary
MGYG-HGUT-00098	primary
MGYG-HGUT-00099	primary
MGYG-HGUT-00100	secondary
MGYG-HGUT-00101	secondary
MGYG-HGUT-00102	primary
MGYG-HGUT-00103	primary
MGYG-HGUT-00104	primary
MGYG-HGUT-00105	primary
MGYG-HGUT-00106	secondary
MGYG-HGUT-00107	primary
MGYG-HGUT-00108	primary
MGYG-HGUT-00109	secondary
MGYG-HGUT-00110	primary
MGYG-HGUT-00111	primary
MGYG-HGUT-00112	secondary
MGYG-HGUT-00113	secondary
MGYG-HGUT-00114	secondary
MGYG-HGUT-00115	primary
MGYG-HGUT-00116	secondary
MGYG-HGUT-00117	primary
MGYG-HGUT-00118	primary
MGYG-HGUT-00119	primary
MGYG-HGUT-00120	primary
MGYG-HGUT-00121	secondary
MGYG-HGUT-00122	secondary
MGYG-HGUT-00123	primary
