genome_ID	gene_name
MGYG-HGUT-00001	malY,cysK,mgl,yhaM
MGYG-HGUT-00002	malY,cysK,yhaM,mccB
MGYG-HGUT-00003	malY,yhaM
MGYG-HGUT-00004	malY,cysK,yhaM
MGYG-HGUT-00005	malY,cysK,mgl,yhaM
MGYG-HGUT-00006	cysK,mccA,mccB
MGYG-HGUT-00007	absent
MGYG-HGUT-00008	absent
MGYG-HGUT-00009	malY,cysK,mccA,mccB
MGYG-HGUT-00010	cysK,mccB
MGYG-HGUT-00011	cysK,mccA,mccB
MGYG-HGUT-00012	malY,cysK,mccA,mccB
MGYG-HGUT-00013	malY,cysK,yhaM
MGYG-HGUT-00014	malY,cysK,mccB
MGYG-HGUT-00015	dcyD,cysM,yhaM,malY,iscS,aspC,mccB,cysK,yhaO,metC,sseA
MGYG-HGUT-00016	cysK,yhaM
MGYG-HGUT-00017	cysK
MGYG-HGUT-00018	malY,cysK
MGYG-HGUT-00019	dcyD,cysM,malY,iscS,aspC,mccB,cysK,metC,sseA
MGYG-HGUT-00020	absent
MGYG-HGUT-00021	malY,mccB
MGYG-HGUT-00022	cysK,yhaM
MGYG-HGUT-00023	malY,cysK
MGYG-HGUT-00024	malY,cysK,mgl,yhaM
MGYG-HGUT-00025	malY,cysK,mccB
MGYG-HGUT-00026	malY,cysK,yhaM
MGYG-HGUT-00027	malY,cysK,mccB
MGYG-HGUT-00028	malY,cysK,mccB
MGYG-HGUT-00029	malY,cysK,yhaM
MGYG-HGUT-00030	malY,cysK,mccB
MGYG-HGUT-00031	malY,cysK,yhaM
MGYG-HGUT-00032	malY,cysK,yhaM
MGYG-HGUT-00033	cysK
MGYG-HGUT-00034	cysK,yhaM
MGYG-HGUT-00035	cysK
MGYG-HGUT-00036	cysK
MGYG-HGUT-00037	cysK,yhaM
MGYG-HGUT-00038	malY,cysK,yhaM,mccB
MGYG-HGUT-00039	cysK,yhaM
MGYG-HGUT-00040	cysK
MGYG-HGUT-00041	malY,cysK,mccB
MGYG-HGUT-00042	malY,cysK,yhaM
MGYG-HGUT-00043	malY,cysK,yhaM
MGYG-HGUT-00044	malY,cysK,yhaM
MGYG-HGUT-00045	malY,cysK,yhaM
MGYG-HGUT-00046	yhaO,cysK,mgl,yhaM
