genome_ID	sequence_ID	gene_name	hmm_name	hmm_len	ali_len	hmm_start	hmm_end	ali_start	ali_end	evalue	score	bias	pct_hmm_aligned
MGYG-HGUT-00001	GUT_GENOME000001_00122	mgl	met_gam_lyase	391	397	2	391	7	397	1e-189	620.1	0.1	0.994
MGYG-HGUT-00005	GUT_GENOME000017_02072	mgl	met_gam_lyase	391	395	3	391	5	393	2.6e-182	595.7	0.0	0.992
MGYG-HGUT-00005	GUT_GENOME000017_00066	mgl	met_gam_lyase	391	399	2	391	9	398	1.3999999999999998e-190	622.9	1.4	0.994
MGYG-HGUT-00024	GUT_GENOME000104_02473	mgl	met_gam_lyase	391	397	2	391	7	397	7.6e-190	620.5	0.1	0.994
MGYG-HGUT-00046	GUT_GENOME000198_00967	mgl	met_gam_lyase	391	400	3	389	10	396	1.2e-183	600.1	0.3	0.987
MGYG-HGUT-00049	GUT_GENOME000203_01667	mgl	met_gam_lyase	391	408	2	391	7	397	5.7e-190	620.9	0.1	0.994
MGYG-HGUT-00062	GUT_GENOME000245_02557	mgl	met_gam_lyase	391	396	2	391	6	395	1.6000000000000002e-186	609.6	0.2	0.994
MGYG-HGUT-00075	GUT_GENOME000290_00525	mgl	met_gam_lyase	391	397	2	391	7	397	1.5e-186	609.6	0.0	0.994
MGYG-HGUT-00083	GUT_GENOME000338_04513	mgl	met_gam_lyase	391	391	3	387	7	390	1.8000000000000001e-186	609.4	0.0	0.982
MGYG-HGUT-00102	GUT_GENOME000534_03451	mgl	met_gam_lyase	391	399	2	391	9	398	2.4e-190	622.1	1.8	0.994
MGYG-HGUT-00108	GUT_GENOME000563_03686	mgl	met_gam_lyase	391	398	3	388	8	393	1.4e-174	570.3	0.0	0.984
MGYG-HGUT-00115	GUT_GENOME000573_01390	mgl	met_gam_lyase	391	398	2	390	8	396	5.7e-183	597.9	0.7	0.992
MGYG-HGUT-00124	GUT_GENOME000595_03347	mgl	met_gam_lyase	391	398	3	388	8	393	5.0000000000000005e-175	571.7	0.0	0.984
MGYG-HGUT-00276	GUT_GENOME001805_00377	mgl	met_gam_lyase	391	399	2	390	8	396	4.7e-174	568.5	0.7	0.992
MGYG-HGUT-00276	GUT_GENOME001805_01347	mgl	met_gam_lyase	391	399	2	389	9	396	2.1e-186	609.1	0.5	0.989
MGYG-HGUT-00337	GUT_GENOME007005_00628	mgl	met_gam_lyase	391	398	3	389	8	394	1.3e-176	576.9	0.7	0.987
MGYG-HGUT-00439	GUT_GENOME010067_00461	mgl	met_gam_lyase	391	398	3	391	8	397	5.6000000000000005e-182	594.6	3.2	0.992
MGYG-HGUT-00439	GUT_GENOME010067_00899	mgl	met_gam_lyase	391	398	3	391	8	397	2.1000000000000003e-180	589.4	3.0	0.992
MGYG-HGUT-00530	GUT_GENOME014725_00411	mgl	met_gam_lyase	391	399	2	391	5	397	1.5e-170	557.0	0.3	0.994
MGYG-HGUT-00536	GUT_GENOME014975_00791	mgl	met_gam_lyase	391	396	2	391	7	396	2e-185	606.0	0.5	0.994
MGYG-HGUT-00536	GUT_GENOME014975_00431	mgl	met_gam_lyase	391	396	2	389	7	394	2.8e-183	598.9	0.1	0.989
MGYG-HGUT-00558	GUT_GENOME016749_00790	mgl	met_gam_lyase	391	399	1	389	8	396	4.7e-187	611.3	0.2	0.992
